benchmark_dynamic.py --num_seeds 8 --solver_seed 1 --num_procs 16 --strategy oracle --instance_pattern instances/ORTEC-VRPTW-ASYM-*.txt --epoch_tlim 600 --phase None --aggregate False

Instance                               Avg. reward  Seed    Time (s)
ORTEC-VRPTW-ASYM-ae0802e0-d1-n268-k15            2  365709   600.083
ORTEC-VRPTW-ASYM-ae0802e0-d1-n268-k15            3  352777   600.066
ORTEC-VRPTW-ASYM-ae0802e0-d1-n268-k15            4  359677   600.077
ORTEC-VRPTW-ASYM-ae0802e0-d1-n268-k15            5  344299    600.08
ORTEC-VRPTW-ASYM-ae0802e0-d1-n268-k15            6  358701    600.07
ORTEC-VRPTW-ASYM-ae0802e0-d1-n268-k15            7  373979   600.072
ORTEC-VRPTW-ASYM-aecf9ffb-d1-n420-k26            0  350153   600.066
ORTEC-VRPTW-ASYM-aecf9ffb-d1-n420-k26            1  352420   600.068
ORTEC-VRPTW-ASYM-aecf9ffb-d1-n420-k26            2  367615   600.072
ORTEC-VRPTW-ASYM-aecf9ffb-d1-n420-k26            3  343362   600.066
ORTEC-VRPTW-ASYM-aecf9ffb-d1-n420-k26            4  367912   600.068
ORTEC-VRPTW-ASYM-aecf9ffb-d1-n420-k26            5  391942   600.085
ORTEC-VRPTW-ASYM-aecf9ffb-d1-n420-k26            6  343841   600.067
ORTEC-VRPTW-ASYM-aecf9ffb-d1-n420-k26            7  346395   600.069
ORTEC-VRPTW-ASYM-af03d3bd-d1-n214-k15            0  454183   600.046
ORTEC-VRPTW-ASYM-af03d3bd-d1-n214-k15            1  471562   600.045
ORTEC-VRPTW-ASYM-af03d3bd-d1-n214-k15            2  427291   600.044
ORTEC-VRPTW-ASYM-af03d3bd-d1-n214-k15            3  423143   600.042
ORTEC-VRPTW-ASYM-af03d3bd-d1-n214-k15            4  445594   600.045
ORTEC-VRPTW-ASYM-af03d3bd-d1-n214-k15            5  432098   600.044
ORTEC-VRPTW-ASYM-af03d3bd-d1-n214-k15            6  442004   600.047
ORTEC-VRPTW-ASYM-af03d3bd-d1-n214-k15            7  474701   600.044
ORTEC-VRPTW-ASYM-afb4cbe2-d1-n457-k45            0  341910   600.054
ORTEC-VRPTW-ASYM-afb4cbe2-d1-n457-k45            1  332187   600.054
ORTEC-VRPTW-ASYM-afb4cbe2-d1-n457-k45            2  345578   600.063
ORTEC-VRPTW-ASYM-afb4cbe2-d1-n457-k45            3  324216   600.054
ORTEC-VRPTW-ASYM-afb4cbe2-d1-n457-k45            4  339267   600.059
ORTEC-VRPTW-ASYM-afb4cbe2-d1-n457-k45            5  338249   600.056
ORTEC-VRPTW-ASYM-afb4cbe2-d1-n457-k45            6  310328   600.053
ORTEC-VRPTW-ASYM-afb4cbe2-d1-n457-k45            7  345831   600.062
ORTEC-VRPTW-ASYM-b0db3a58-d1-n220-k13            0  355132   600.078
ORTEC-VRPTW-ASYM-b0db3a58-d1-n220-k13            1  333762   600.084
ORTEC-VRPTW-ASYM-b0db3a58-d1-n220-k13            2  368640   600.075
ORTEC-VRPTW-ASYM-b0db3a58-d1-n220-k13            3  347472   600.079
ORTEC-VRPTW-ASYM-b0db3a58-d1-n220-k13            4  379828   600.105
ORTEC-VRPTW-ASYM-b0db3a58-d1-n220-k13            5  344444   600.083
ORTEC-VRPTW-ASYM-b0db3a58-d1-n220-k13            6  339895   600.068
ORTEC-VRPTW-ASYM-b0db3a58-d1-n220-k13            7  341608   600.078
ORTEC-VRPTW-ASYM-b201abbb-d1-n360-k24            0  216395   600.055
ORTEC-VRPTW-ASYM-b201abbb-d1-n360-k24            1  210650   600.068
ORTEC-VRPTW-ASYM-b201abbb-d1-n360-k24            2  205795   600.052
ORTEC-VRPTW-ASYM-b201abbb-d1-n360-k24            3  208962   600.061
ORTEC-VRPTW-ASYM-b201abbb-d1-n360-k24            4  209581    600.07
ORTEC-VRPTW-ASYM-b201abbb-d1-n360-k24            5  218513   600.064
ORTEC-VRPTW-ASYM-b201abbb-d1-n360-k24            6  216749   600.075
ORTEC-VRPTW-ASYM-b201abbb-d1-n360-k24            7  205958   600.056
ORTEC-VRPTW-ASYM-b3059fbe-d1-n325-k20            0  212425   600.074
ORTEC-VRPTW-ASYM-b3059fbe-d1-n325-k20            1  206518   600.077
ORTEC-VRPTW-ASYM-b3059fbe-d1-n325-k20            2  201251   600.059
ORTEC-VRPTW-ASYM-b3059fbe-d1-n325-k20            3  188553   600.052
ORTEC-VRPTW-ASYM-b3059fbe-d1-n325-k20            4  222423   600.068
ORTEC-VRPTW-ASYM-b3059fbe-d1-n325-k20            5  203226    600.06
ORTEC-VRPTW-ASYM-b3059fbe-d1-n325-k20            6  204787   600.068
ORTEC-VRPTW-ASYM-b3059fbe-d1-n325-k20            7  208401    600.06
ORTEC-VRPTW-ASYM-b345b203-d1-n215-k15            0  262199   600.079
ORTEC-VRPTW-ASYM-b345b203-d1-n215-k15            1  282076   600.087
ORTEC-VRPTW-ASYM-b345b203-d1-n215-k15            2  259362    600.08
ORTEC-VRPTW-ASYM-b345b203-d1-n215-k15            3  243735   600.078
ORTEC-VRPTW-ASYM-b345b203-d1-n215-k15            4  258570   600.086
ORTEC-VRPTW-ASYM-b345b203-d1-n215-k15            5  259196    600.08
ORTEC-VRPTW-ASYM-b345b203-d1-n215-k15            6  262894   600.092
ORTEC-VRPTW-ASYM-b345b203-d1-n215-k15            7  294668   600.083
ORTEC-VRPTW-ASYM-b35f2931-d1-n212-k13            0  309050   600.054
ORTEC-VRPTW-ASYM-b35f2931-d1-n212-k13            1  316210   600.046
ORTEC-VRPTW-ASYM-b35f2931-d1-n212-k13            2  324293   600.048
ORTEC-VRPTW-ASYM-b35f2931-d1-n212-k13            3  329644   600.053
ORTEC-VRPTW-ASYM-b35f2931-d1-n212-k13            4  307204   600.048
ORTEC-VRPTW-ASYM-b35f2931-d1-n212-k13            5  339811   600.046
ORTEC-VRPTW-ASYM-b35f2931-d1-n212-k13            6  276706   600.046
ORTEC-VRPTW-ASYM-b35f2931-d1-n212-k13            7  317482   600.059
ORTEC-VRPTW-ASYM-b3635658-d1-n457-k28            0  375560   600.075
ORTEC-VRPTW-ASYM-b3635658-d1-n457-k28            1  363564   600.074
ORTEC-VRPTW-ASYM-b3635658-d1-n457-k28            2  363185   600.066
ORTEC-VRPTW-ASYM-b3635658-d1-n457-k28            3  374869   600.065
ORTEC-VRPTW-ASYM-b3635658-d1-n457-k28            4  360692    600.06
ORTEC-VRPTW-ASYM-b3635658-d1-n457-k28            5  366890   600.063
ORTEC-VRPTW-ASYM-b3635658-d1-n457-k28            6  360785   600.059
ORTEC-VRPTW-ASYM-b3635658-d1-n457-k28            7  351441   600.064
ORTEC-VRPTW-ASYM-b384a276-d1-n219-k17            0  296837   600.045
ORTEC-VRPTW-ASYM-b384a276-d1-n219-k17            1  299847    600.05
ORTEC-VRPTW-ASYM-b384a276-d1-n219-k17            2  308737   600.055
ORTEC-VRPTW-ASYM-b384a276-d1-n219-k17            3  305881   600.051
ORTEC-VRPTW-ASYM-b384a276-d1-n219-k17            4  291040   600.051
ORTEC-VRPTW-ASYM-b384a276-d1-n219-k17            5  291146   600.057
ORTEC-VRPTW-ASYM-b384a276-d1-n219-k17            6  275224   600.057
ORTEC-VRPTW-ASYM-b384a276-d1-n219-k17            7  280247    600.05
ORTEC-VRPTW-ASYM-b6aa1919-d1-n212-k13            0  286818   600.053
ORTEC-VRPTW-ASYM-b6aa1919-d1-n212-k13            1  281163   600.049
ORTEC-VRPTW-ASYM-b6aa1919-d1-n212-k13            2  278460   600.057
ORTEC-VRPTW-ASYM-b6aa1919-d1-n212-k13            3  311315   600.058
ORTEC-VRPTW-ASYM-b6aa1919-d1-n212-k13            4  271275   600.052
ORTEC-VRPTW-ASYM-b6aa1919-d1-n212-k13            5  296335   600.048
ORTEC-VRPTW-ASYM-b6aa1919-d1-n212-k13            6  295291   600.057
ORTEC-VRPTW-ASYM-b6aa1919-d1-n212-k13            7  286453   600.049
ORTEC-VRPTW-ASYM-b7ae3aa2-d1-n304-k23            0  293203   600.061
ORTEC-VRPTW-ASYM-b7ae3aa2-d1-n304-k23            1  275395   600.055
ORTEC-VRPTW-ASYM-b7ae3aa2-d1-n304-k23            2  248109   600.054
ORTEC-VRPTW-ASYM-b7ae3aa2-d1-n304-k23            3  352768   600.055
ORTEC-VRPTW-ASYM-b7ae3aa2-d1-n304-k23            4  261687   600.058
ORTEC-VRPTW-ASYM-b7ae3aa2-d1-n304-k23            5  315405   600.052
ORTEC-VRPTW-ASYM-b7ae3aa2-d1-n304-k23            6  292728    600.05
ORTEC-VRPTW-ASYM-b7ae3aa2-d1-n304-k23            7  266797   600.059
ORTEC-VRPTW-ASYM-bbed1122-d1-n347-k25            0  511033   600.057
ORTEC-VRPTW-ASYM-bbed1122-d1-n347-k25            1  518578   600.062
ORTEC-VRPTW-ASYM-bbed1122-d1-n347-k25            2  527131   600.062
ORTEC-VRPTW-ASYM-bbed1122-d1-n347-k25            3  544076   600.067
ORTEC-VRPTW-ASYM-bbed1122-d1-n347-k25            4  603552    600.07
ORTEC-VRPTW-ASYM-bbed1122-d1-n347-k25            5  533208   600.063
ORTEC-VRPTW-ASYM-bbed1122-d1-n347-k25            6  552564   600.062
ORTEC-VRPTW-ASYM-bbed1122-d1-n347-k25            7  564181   600.062
ORTEC-VRPTW-ASYM-bc44b197-d1-n296-k18            0  321568   600.068
ORTEC-VRPTW-ASYM-bc44b197-d1-n296-k18            1  283270   600.067
ORTEC-VRPTW-ASYM-bc44b197-d1-n296-k18            2  325657   600.069
ORTEC-VRPTW-ASYM-bc44b197-d1-n296-k18            3  290532   600.072
ORTEC-VRPTW-ASYM-bc44b197-d1-n296-k18            4  299339   600.064
ORTEC-VRPTW-ASYM-bc44b197-d1-n296-k18            5  313725   600.077
ORTEC-VRPTW-ASYM-bc44b197-d1-n296-k18            6  295718   600.072
ORTEC-VRPTW-ASYM-bc44b197-d1-n296-k18            7  319226   600.063
ORTEC-VRPTW-ASYM-bda861e7-d1-n364-k22            0  318462   600.053
ORTEC-VRPTW-ASYM-bda861e7-d1-n364-k22            1  345279   600.068
ORTEC-VRPTW-ASYM-bda861e7-d1-n364-k22            2  336103   600.065
ORTEC-VRPTW-ASYM-bda861e7-d1-n364-k22            3  338345   600.052
ORTEC-VRPTW-ASYM-bda861e7-d1-n364-k22            4  320819   600.056
ORTEC-VRPTW-ASYM-bda861e7-d1-n364-k22            5  331281   600.058
ORTEC-VRPTW-ASYM-bda861e7-d1-n364-k22            6  328974   600.056
ORTEC-VRPTW-ASYM-bda861e7-d1-n364-k22            7  329686   600.049
ORTEC-VRPTW-ASYM-bdfcbd22-d1-n247-k20            0  313542   600.064
ORTEC-VRPTW-ASYM-bdfcbd22-d1-n247-k20            1  317799   600.067
ORTEC-VRPTW-ASYM-bdfcbd22-d1-n247-k20            2  323178   600.065
ORTEC-VRPTW-ASYM-bdfcbd22-d1-n247-k20            3  301918   600.074
ORTEC-VRPTW-ASYM-bdfcbd22-d1-n247-k20            4  307925   600.076
ORTEC-VRPTW-ASYM-bdfcbd22-d1-n247-k20            5  325225   600.073
ORTEC-VRPTW-ASYM-bdfcbd22-d1-n247-k20            6  295635   600.053
ORTEC-VRPTW-ASYM-bdfcbd22-d1-n247-k20            7  312687   600.055
ORTEC-VRPTW-ASYM-c0f56186-d1-n499-k31            0  299156   600.059
ORTEC-VRPTW-ASYM-c0f56186-d1-n499-k31            1  335024   600.062
ORTEC-VRPTW-ASYM-c0f56186-d1-n499-k31            2  338693    600.07
ORTEC-VRPTW-ASYM-c0f56186-d1-n499-k31            3  312040   600.056
ORTEC-VRPTW-ASYM-c0f56186-d1-n499-k31            4  349983   600.058
ORTEC-VRPTW-ASYM-c0f56186-d1-n499-k31            5  325231   600.073
ORTEC-VRPTW-ASYM-c0f56186-d1-n499-k31            6  320906   600.068
ORTEC-VRPTW-ASYM-c0f56186-d1-n499-k31            7  341322   600.065
ORTEC-VRPTW-ASYM-c15b0201-d1-n320-k20            0  371867   600.061
ORTEC-VRPTW-ASYM-c15b0201-d1-n320-k20            1  395139   600.063
ORTEC-VRPTW-ASYM-c15b0201-d1-n320-k20            2  408740   600.066
ORTEC-VRPTW-ASYM-c15b0201-d1-n320-k20            3  409063   600.066
ORTEC-VRPTW-ASYM-c15b0201-d1-n320-k20            4  381737   600.069
ORTEC-VRPTW-ASYM-c15b0201-d1-n320-k20            5  386536    600.07
ORTEC-VRPTW-ASYM-c15b0201-d1-n320-k20            6  364887   600.078
ORTEC-VRPTW-ASYM-c15b0201-d1-n320-k20            7  408643   600.075
ORTEC-VRPTW-ASYM-c67b3a3f-d1-n342-k21            0  222034    600.06
ORTEC-VRPTW-ASYM-c67b3a3f-d1-n342-k21            1  226431   600.063
ORTEC-VRPTW-ASYM-c67b3a3f-d1-n342-k21            2  209821    600.06
ORTEC-VRPTW-ASYM-c67b3a3f-d1-n342-k21            3  203613   600.058
ORTEC-VRPTW-ASYM-c67b3a3f-d1-n342-k21            4  205975   600.057
ORTEC-VRPTW-ASYM-c67b3a3f-d1-n342-k21            5  218789   600.062
ORTEC-VRPTW-ASYM-c67b3a3f-d1-n342-k21            6  206255   600.057
ORTEC-VRPTW-ASYM-c67b3a3f-d1-n342-k21            7  216150   600.061
ORTEC-VRPTW-ASYM-c7657e35-d1-n275-k21            0  311219   600.058
ORTEC-VRPTW-ASYM-c7657e35-d1-n275-k21            1  266676   600.056
ORTEC-VRPTW-ASYM-c7657e35-d1-n275-k21            2  271658   600.064
ORTEC-VRPTW-ASYM-c7657e35-d1-n275-k21            3  327683   600.057
ORTEC-VRPTW-ASYM-c7657e35-d1-n275-k21            4  289909   600.064
ORTEC-VRPTW-ASYM-c7657e35-d1-n275-k21            5  296786    600.06
ORTEC-VRPTW-ASYM-c7657e35-d1-n275-k21            6  293259   600.053
ORTEC-VRPTW-ASYM-c7657e35-d1-n275-k21            7  292497   600.065
ORTEC-VRPTW-ASYM-c82ca041-d1-n393-k23            0  408042   600.072
ORTEC-VRPTW-ASYM-c82ca041-d1-n393-k23            1  406843   600.073
ORTEC-VRPTW-ASYM-c82ca041-d1-n393-k23            2  389129   600.066
ORTEC-VRPTW-ASYM-c82ca041-d1-n393-k23            3  407724   600.067
ORTEC-VRPTW-ASYM-c82ca041-d1-n393-k23            4  384834   600.069
ORTEC-VRPTW-ASYM-c82ca041-d1-n393-k23            5  430244   600.098
ORTEC-VRPTW-ASYM-c82ca041-d1-n393-k23            6  362141    600.07
ORTEC-VRPTW-ASYM-c82ca041-d1-n393-k23            7  374581   600.064
ORTEC-VRPTW-ASYM-c853ff0d-d1-n236-k15            0  290644   600.064
ORTEC-VRPTW-ASYM-c853ff0d-d1-n236-k15            1  280290   600.059
ORTEC-VRPTW-ASYM-c853ff0d-d1-n236-k15            2  284038    600.06
ORTEC-VRPTW-ASYM-c853ff0d-d1-n236-k15            3  264047   600.058
ORTEC-VRPTW-ASYM-c853ff0d-d1-n236-k15            4  281047   600.053
ORTEC-VRPTW-ASYM-c853ff0d-d1-n236-k15            5  281393   600.057
ORTEC-VRPTW-ASYM-c853ff0d-d1-n236-k15            6  278981   600.057
ORTEC-VRPTW-ASYM-c853ff0d-d1-n236-k15            7  283675   600.054
ORTEC-VRPTW-ASYM-ca1ed34e-d1-n226-k21            0  475039   600.059
ORTEC-VRPTW-ASYM-ca1ed34e-d1-n226-k21            1  442920   600.061
ORTEC-VRPTW-ASYM-ca1ed34e-d1-n226-k21            2  471485   600.064
ORTEC-VRPTW-ASYM-ca1ed34e-d1-n226-k21            3  449868   600.059
ORTEC-VRPTW-ASYM-ca1ed34e-d1-n226-k21            4  464415   600.057
ORTEC-VRPTW-ASYM-ca1ed34e-d1-n226-k21            5  455235   600.057
ORTEC-VRPTW-ASYM-ca1ed34e-d1-n226-k21            6  481474   600.063
ORTEC-VRPTW-ASYM-ca1ed34e-d1-n226-k21            7  433950   600.061
ORTEC-VRPTW-ASYM-ca5d17ad-d1-n246-k15            0  326529   600.065
ORTEC-VRPTW-ASYM-ca5d17ad-d1-n246-k15            1  335373   600.065
ORTEC-VRPTW-ASYM-ca5d17ad-d1-n246-k15            2  367908   600.064
ORTEC-VRPTW-ASYM-ca5d17ad-d1-n246-k15            3  347118   600.062
ORTEC-VRPTW-ASYM-ca5d17ad-d1-n246-k15            4  363937   600.061
ORTEC-VRPTW-ASYM-ca5d17ad-d1-n246-k15            5  338814   600.059
ORTEC-VRPTW-ASYM-ca5d17ad-d1-n246-k15            6  345319   600.066
ORTEC-VRPTW-ASYM-ca5d17ad-d1-n246-k15            7  314341    600.06
ORTEC-VRPTW-ASYM-cc815064-d1-n470-k26            0  383528   600.062
ORTEC-VRPTW-ASYM-cc815064-d1-n470-k26            1  387911   600.063
ORTEC-VRPTW-ASYM-cc815064-d1-n470-k26            2  358116   600.063
ORTEC-VRPTW-ASYM-cc815064-d1-n470-k26            3  400927   600.072
